=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2017.12.22 14:00:02 =~=~=~=~=~=~=~=~=~=~=~=
1.89.1.79,
11582,2.34,
11595,1.48,
11609,0.32,
11623,1.92,
11636,1.78,
11650,1.78,
11663,2.36,
11676,0.52,
11691,1.21,
11704,0.71,
11717,1.74,
11730,0.63,
11744,0.53,
11758,1.14,
11771,2.26,
11785,2.27,
11798,2.21,
11811,2.33,
11826,2.02,
11839,0.02,
11852,0.00,
11866,0.01,
11879,0.01,
11893,2.23,
11907,0.50,
11920,1.60,
11933,0.72,
11947,0.44,
11961,1.70,
11974,1.24,
11987,0.86,
12001,2.34,
12014,1.09,
12028,0.60,
12042,0.71,
12055,1.43,
12068,1.12,
12082,0.49,
12096,0.94,
12109,1.47,
12123,0.90,
12136,0.64,
12149,2.29,
12164,1.38,
12177,0.82,
12190,0.56,
12204,0.47,
12217,0.48,
12231,0.53,
12244,0.01,
12258,0.01,
12271,0.05,
12284,0.02,
12299,0.04,
12312,0.06,
12325,0.21,
12339,0.13,
12352,1.48,
12366,0.94,
12380,0.93,
12393,0.81,
12406,0.95,
12421,0.61,
12434,1.50,
12447,0.52,
12461,2.42,
12474,2.05,
12488,2.42,
12502,0.73,
12515,0.71,
12528,2.00,
12541,0.82,
12556,0.65,
12569,2.35,
12582,1.49,
12596,0.96,
12609,0.69,
12623,0.60,
12637,0.61,
12650,0.74,
12663,0.01,
12677,0.03,
12691,0.02,
12704,0.02,